,County,planted_2011,planted_2012,planted_2013,planted_2014,planted_2015,planted_2016,planted_2017,planted_2018,planted_2019
0,Alameda,20,10,0,5,17,15,6,2,20
1,Amador,64,203,42,43,67,24,33,14,19
2,Butte,5,13,1,1,0,1,4,2,0
3,Calaveras,8,6,5,0,15,10,5,4,1
4,Colusa,0,0,0,0,0,0,0,12,335
5,Contra Costa,35,43,25,37,2,0,4,8,4
6,El Dorado,29,65,23,102,39,52,25,19,12
7,Fresno,1164,1295,1384,1473,630,274,335,121,585
8,Glenn,0,0,0,0,1,0,0,0,0
9,Humboldt,0,0,0,1,0,0,0,0,0
10,Kern,494,847,1063,243,280,35,12,0,0
11,Kings,0,179,113,144,0,47,0,0,192
12,Lake,89,146,298,605,599,230,107,377,192
13,Lassen,0,0,0,0,0,0,0,0,0
14,Los Angeles,3,0,3,7,1,0,0,0,0
15,Madera,595,1502,267,281,100,143,789,558,33
16,Marin,1,1,1,0,0,11,0,1,0
17,Mariposa,0,0,0,0,0,0,0,0,0
18,Mendocino,202,551,335,352,379,231,278,406,281
19,Merced,481,1106,650,5,232,200,134,0,388
20,Monterey,759,1193,1043,1316,370,346,705,119,323
21,Napa,758,737,581,777,1043,901,761,628,363
22,Nevada,3,0,1,4,2,0,0,1,1
23,Orange,0,0,0,0,0,0,0,0,1
24,Placer,0,2,2,3,0,2,0,1,2
25,Riverside,27,50,44,45,24,28,12,12,2
26,Sacramento,822,798,1943,1890,526,445,835,566,40
27,San Benito,0,92,64,18,43,35,30,0,5
28,San Bernardino,0,2,3,0,0,0,0,0,0
29,San Diego,31,32,42,30,29,35,14,16,33
30,San Joaquin,1038,1234,880,2991,1710,1948,732,799,592
31,San Luis Obispo,479,1463,2567,1462,1646,1432,508,624,376
32,San Mateo,0,6,0,3,0,0,2,0,1
33,Santa Barbara,274,743,440,112,252,844,775,66,56
34,Santa Clara,15,18,61,20,122,38,7,18,2
35,Santa Cruz,3,8,14,13,32,0,1,2,0
36,Shasta,0,4,0,0,1,0,0,0,0
37,Siskiyou,0,0,0,0,1,0,0,0,0
38,Solano,22,34,0,151,255,18,105,0,20
39,Sonoma,552,736,791,707,769,819,557,745,485
40,Stanislaus,10,111,324,32,141,197,0,0,8
41,Sutter,0,0,0,0,0,0,0,0,0
42,Tehama,0,3,1,3,2,0,0,0,0
43,Trinity,0,0,1,1,0,0,0,0,4
44,Tulare,165,482,505,256,95,63,74,5,45
45,Tuolumne,0,3,1,0,0,0,0,0,0
46,Ventura,1,1,1,0,0,4,0,0,0
47,Yolo,335,471,1032,995,344,221,101,434,85
48,Yuba,0,3,0,0,0,0,0,0,0
