Varietal,Type,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aglianico,Red,7,4,9,2,9,2,5,0,0
Alicante Bouschet,Red,1,139,6,14,4,0,10,0,0
Barbera,Red,15,45,94,74,15,65,7,8,434
Cabernet Franc,Red,29,61,91,56,71,73,55,33,29
Cabernet Sauvignon,Red,1393,3832,4304,3404,3534,3224,1817,1784,970
Carignane,Red,3,301,9,8,0,1,2,12,0
Carmenere,Red,0,1,5,1,3,2,6,0,0
Charbono,Red,1,0,0,0,2,0,0,0,1
Cinsaut,Red,1,2,2,1,4,4,1,3,11
Counoise,Red,4,0,2,0,1,1,1,6,0
Dolcetto,Red,1,0,1,0,0,0,0,0,0
Dornfelder,Red,19,0,0,0,2,0,0,0,1
Gamay,Red,0,36,1,0,0,0,0,0,1
Graciano,Red,22,0,0,2,4,4,0,2,0
Grenache,Red,95,205,91,87,110,68,115,61,37
Lagrein,Red,0,0,21,0,2,1,0,0,0
Malbec,Red,447,635,207,204,115,58,53,17,39
Merlot,Red,433,262,339,485,84,105,216,170,64
Meunier,Red,8,0,1,0,3,0,1,0,3
Mission,Red,0,0,0,0,1,0,0,50,2
Montepulciano,Red,0,2,13,17,5,1,3,0,0
Mourvedre,Red,38,25,25,31,20,23,48,26,22
Muscat Hamburg,Red,0,57,0,0,0,0,0,0,5
Nebbiolo,Red,1,0,2,2,4,2,1,0,1
Petit Verdot,Red,164,116,331,157,315,284,20,18,23
Petite Sirah,Red,505,357,778,917,678,676,357,177,35
Pinot Noir,Red,687,1000,1460,2056,1141,1056,1389,882,419
Pinotage,Red,0,0,0,0,0,0,1,0,0
Primitivo,Red,16,127,493,224,12,28,42,14,8
Rubired,Red,297,171,127,281,313,80,12,0,0
Ruby Cabernet,Red,0,121,0,82,77,0,0,0,0
Sangiovese,Red,32,21,7,14,11,7,4,6,7
Souzao,Red,0,7,2,1,0,0,0,0,1
Syrah,Red,45,101,152,221,42,117,114,72,46
Tannat,Red,9,156,30,37,4,58,1,10,2
Tempranillo,Red,16,16,66,22,36,34,12,6,6
Teroldego,Red,6,0,232,261,119,274,59,15,0
Touriga Nacional,Red,1,0,1,43,0,0,0,1,4
Zinfandel,Red,130,493,778,452,171,203,221,39,420
Other Red Wine,Red,41,202,168,45,98,26,52,26,41
Albarino,White,19,2,5,18,10,35,72,3,57
Arneis,White,0,2,0,1,0,0,0,0,0
Chardonnay,White,1039,1183,1969,2212,949,1063,877,1122,955
Chenin Blanc,White,83,68,27,322,10,54,2,17,23
French Colombard,White,515,2006,905,304,5,35,5,0,114
Gewurztraminer,White,139,233,2,7,3,0,0,50,16
Grenache Blanc,White,13,12,30,54,21,7,14,1,259
Gruner Veltliner,White,9,4,2,0,0,17,0,1,1
Malvasia Bianca,White,84,1,4,0,0,2,0,0,0
Marsanne,White,0,3,4,5,1,1,5,0,1
Moscato Gaillo,White,0,150,0,0,0,0,0,0,0
Muscat Blanc,White,257,536,304,50,5,2,0,0,82
Muscat of Alexandria,White,996,527,247,2,0,1,0,0,0
Muscat Orange,White,24,73,8,3,0,11,0,0,0
Picpoul Blanc,White,8,3,2,1,4,5,6,4,0
Pinot Blanc,White,7,3,0,0,45,3,0,0,6
Pinot Gris,White,45,188,727,1628,1295,600,666,448,25
Roussanne,White,7,5,4,10,5,4,1,0,1
Sauvignon Blanc,White,220,279,133,154,301,277,618,434,230
Sauvignon Musque,White,76,1,0,0,4,3,3,1,1
Sauvignon Vert,White,40,0,1,0,0,0,0,0,0
Semillon,White,12,2,4,4,1,5,8,6,2
St. Emilion,White,0,3,0,0,1,0,3,0,0
Symphony,White,230,0,0,0,0,8,0,0,0
Tocai Friulano,White,4,0,0,0,1,0,0,0,0
Triplett Blanc,White,0,0,4,0,0,0,0,0,0
Verdelho,White,5,16,3,35,0,2,0,0,0
Vermentino,White,6,13,13,22,7,4,1,9,6
Viognier,White,11,24,21,42,3,13,3,14,3
White Riesling,White,55,342,238,32,65,6,2,1,2
Other White Wine,White,112,12,48,17,23,14,41,11,94
